STATION,NAME,DATE,PRCP,TMAX,TMIN,TOBS
USC00042319,"DEATH VALLEY, CA US",2018-07-01,0,65,34,42
USC00042319,"DEATH VALLEY, CA US",2018-07-02,0,61,38,46
USC00042319,"DEATH VALLEY, CA US",2018-07-03,0,69,34,54
USC00042319,"DEATH VALLEY, CA US",2018-07-04,0,69,39,48
USC00042319,"DEATH VALLEY, CA US",2018-07-05,0,74,40,57
USC00042319,"DEATH VALLEY, CA US",2018-07-06,0,74,47,65
USC00042319,"DEATH VALLEY, CA US",2018-07-07,0,77,54,60
USC00042319,"DEATH VALLEY, CA US",2018-07-08,0.07,62,52,52
USC00042319,"DEATH VALLEY, CA US",2018-07-09,0.4,60,51,51
USC00042319,"DEATH VALLEY, CA US",2018-07-10,0,64,49,50
USC00042319,"DEATH VALLEY, CA US",2018-07-11,0,67,45,51
USC00042319,"DEATH VALLEY, CA US",2018-07-12,0,68,44,51
USC00042319,"DEATH VALLEY, CA US",2018-07-13,0,73,45,55
USC00042319,"DEATH VALLEY, CA US",2018-07-14,0,72,44,55
USC00042319,"DEATH VALLEY, CA US",2018-07-15,0,73,46,55
USC00042319,"DEATH VALLEY, CA US",2018-07-16,0,70,49,54
USC00042319,"DEATH VALLEY, CA US",2018-07-17,0,71,47,54
USC00042319,"DEATH VALLEY, CA US",2018-07-18,0,71,46,53
USC00042319,"DEATH VALLEY, CA US",2018-07-19,0.01,78,48,56
USC00042319,"DEATH VALLEY, CA US",2018-07-20,0,68,54,56
USC00042319,"DEATH VALLEY, CA US",2018-07-21,0,69,46,47
USC00042319,"DEATH VALLEY, CA US",2018-07-22,0,66,39,45
USC00042319,"DEATH VALLEY, CA US",2018-07-23,0,69,37,46
USC00042319,"DEATH VALLEY, CA US",2018-07-24,0,69,37,47
USC00042319,"DEATH VALLEY, CA US",2018-07-25,0,75,42,52
USC00042319,"DEATH VALLEY, CA US",2018-07-26,0,69,42,53
USC00042319,"DEATH VALLEY, CA US",2018-07-27,0,69,38,50
USC00042319,"DEATH VALLEY, CA US",2018-07-28,0,81,44,56
USC00042319,"DEATH VALLEY, CA US",2018-07-29,0,81,48,61
USC00042319,"DEATH VALLEY, CA US",2018-07-30,0,79,48,60
USC00042319,"DEATH VALLEY, CA US",2018-07-31,0,78,44,53
